title,artist,top genre,year,bpm,Energy,dnce,dB,live
The Way,Ariana Grande,dance pop,2013,82,88,65,-3,8
Suit & Tie,Justin Timberlake,dance pop,2013,102,60,80,-4,16
I Love It (feat. Charli XCX),Icona Pop,candy pop,2013,126,91,71,-3,15
Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,dance pop,2013,130,87,72,-3,66
Daylight,Maroon 5,pop,2013,120,67,66,-5,26
Love Somebody,Maroon 5,pop,2013,120,78,68,-6,12
A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2013,130,62,76,-6,9
Move,Little Mix,dance pop,2013,121,74,85,-5,55
Walks Like Rihanna,The Wanted,boy band,2013,126,82,56,-3,10
Rock N Roll,Avril Lavigne,canadian pop,2013,184,96,47,-3,34
Heartbreaker,Justin Bieber,canadian pop,2013,105,52,56,-7,34
Mirrors - Radio Edit,Justin Timberlake,dance pop,2013,77,60,58,-6,43
Next To Me,Emeli Sand�,dance pop,2013,95,80,67,-5,11
Made In The USA,Demi Lovato,dance pop,2013,87,86,58,-4,32
Clown,Emeli Sand�,dance pop,2013,130,23,45,-8,11
Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,hip pop,2013,93,81,55,-6,15
TKO,Justin Timberlake,dance pop,2013,138,68,61,-7,43
Come & Get It,Selena Gomez,dance pop,2013,80,79,55,-4,10
Live It Up,Jennifer Lopez,dance pop,2013,128,73,69,-5,33
We Own The Night,The Wanted,boy band,2013,104,94,55,-4,23
Atlas - From �The Hunger Games: Catching Fire� Soundtrack,Coldplay,permanent wave,2013,136,45,28,-8,11
What About Love,Austin Mahone,dance pop,2013,100,78,63,-7,4
Take Back the Night,Justin Timberlake,dance pop,2013,107,66,59,-5,64
Applause,Lady Gaga,dance pop,2013,140,78,67,-4,11
Anything Could Happen,Ellie Goulding,dance pop,2013,103,78,70,-4,14
Finally Found You,Enrique Iglesias,dance pop,2013,128,88,62,-5,35
Pom Poms,Jonas Brothers,boy band,2013,148,98,68,-2,28
How Ya Doin'? (feat. Missy Elliott),Little Mix,dance pop,2013,201,95,36,-3,37
Crazy Kids (feat. will.i.am),Kesha,dance pop,2013,128,75,72,-4,13
"Ooh La La (from ""The Smurfs 2"")",Britney Spears,dance pop,2013,128,57,69,-5,11
People Like Us,Kelly Clarkson,dance pop,2013,128,79,60,-5,36
Overdose,Ciara,dance pop,2013,107,70,77,-6,6
Right Now - Dyro Radio Edit,Rihanna,barbadian pop,2013,130,74,53,-6,24
Give It 2 U,Robin Thicke,dance pop,2013,127,83,67,-4,16
Foolish Games,Jewel,alaska indie,2013,132,34,51,-11,12
Outta Nowhere (feat. Danny Mercer),Pitbull,dance pop,2013,95,84,71,-4,21
Freak,Kelly Rowland,atl hip hop,2013,104,78,65,-5,12
All of Me,John Legend,neo mellow,2014,120,26,42,-7,13
Stay With Me,Sam Smith,pop,2014,84,42,42,-6,11
Summer,Calvin Harris,dance pop,2014,128,86,60,-4,14
"Happy - From ""Despicable Me 2""",Pharrell Williams,dance pop,2014,160,82,65,-5,9
Rude,MAGIC!,pop,2014,144,76,77,-5,31
Shake It Off,Taylor Swift,pop,2014,160,80,65,-5,33
Dark Horse,Katy Perry,dance pop,2014,132,59,65,-6,17
Hey Brother,Avicii,big room,2014,125,78,55,-5,8
Maps,Maroon 5,pop,2014,120,71,74,-6,6
Treasure,Bruno Mars,pop,2014,116,69,87,-5,32
Let Her Go,Passenger,folk-pop,2014,75,54,51,-7,10
Problem,Ariana Grande,dance pop,2014,103,81,66,-5,16
Pompeii,Bastille,metropopolis,2014,127,72,68,-6,27
Team,Lorde,art pop,2014,100,58,69,-7,31
Love Me Again,John Newman,pop,2014,126,89,50,-5,10
Latch,Disclosure,house,2014,122,73,50,-5,9
Adore You,Miley Cyrus,dance pop,2014,120,66,58,-5,11
Love Never Felt So Good,Michael Jackson,pop,2014,118,72,78,-6,7
Burn,Ellie Goulding,dance pop,2014,87,78,56,-5,11
She Looks So Perfect,5 Seconds of Summer,boy band,2014,160,95,49,-4,33
Fancy,Iggy Azalea,australian hip hop,2014,95,72,91,-4,5
Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,2014,100,65,76,-7,31
Gorilla,Bruno Mars,pop,2014,140,54,72,-7,10
human,Christina Perri,dance pop,2014,144,49,44,-6,11
Young Girls,Bruno Mars,pop,2014,126,75,56,-5,21
Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,2014,82,62,70,-7,16
Love Runs Out,OneRepublic,dance pop,2014,120,93,72,-4,8
This Is How We Do,Katy Perry,dance pop,2014,96,64,69,-6,15
Mmm Yeah (feat. Pitbull),Austin Mahone,dance pop,2014,126,92,71,-4,27
A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2014,130,62,76,-6,9
Partition,Beyonc�,dance pop,2014,186,44,41,-12,31
Birthday,Katy Perry,dance pop,2014,126,67,72,-5,11
G.U.Y.,Lady Gaga,dance pop,2014,110,92,62,-3,12
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,2014,128,74,60,-3,9
"Let It Go - From ""Frozen / Single Version",Demi Lovato,dance pop,2014,140,66,50,-6,27
Wings,Birdy,neo mellow,2014,83,71,47,-5,16
Can't Remember to Forget You (feat. Rihanna),Shakira,colombian pop,2014,138,81,69,-4,14
Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,dance pop,2014,192,77,35,-4,12
Say Something,A Great Big World,neo mellow,2014,138,15,45,-9,9
A Sky Full of Stars,Coldplay,permanent wave,2014,125,68,55,-6,21
Come Get It Bae,Pharrell Williams,dance pop,2014,120,80,93,-6,10
Chandelier,Sia,australian dance,2014,174,78,29,-3,7
XO,Beyonc�,dance pop,2014,170,79,47,-9,31
We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,dance pop,2014,125,94,60,-4,10
Not About Angels,Birdy,neo mellow,2014,116,14,41,-10,9
Drunk in Love,Beyonc�,dance pop,2014,140,62,59,-7,18
Anaconda,Nicki Minaj,dance pop,2014,130,60,96,-6,21
Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verr�ter,Charli XCX,candy pop,2014,92,81,68,-4,34
La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira,colombian pop,2014,128,82,80,-5,35
Tee Shirt - Soundtrack Version,Birdy,neo mellow,2014,76,34,68,-9,9
Words as Weapons,Birdy,neo mellow,2014,120,35,53,-9,14
You're Mine (Eternal),Mariah Carey,dance pop,2014,149,58,63,-7,38
Sheezus,Lily Allen,dance pop,2014,130,50,78,-7,11
Cannonball,Lea Michele,hollywood,2014,92,82,56,-3,19
It's On Again - Main Soundtrack,Alicia Keys,hip pop,2014,110,54,64,-9,25
I Luh Ya Papi,Jennifer Lopez,dance pop,2014,96,73,74,-6,12
Not a Bad Thing,Justin Timberlake,dance pop,2014,86,73,59,-6,38
Thinking out Loud,Ed Sheeran,pop,2015,79,45,78,-6,18
I'm Not The Only One,Sam Smith,pop,2015,82,49,68,-6,8
The Hills,The Weeknd,canadian contemporary r&b,2015,113,56,58,-7,14
Love Yourself,Justin Bieber,canadian pop,2015,100,38,61,-10,28
Uptown Funk,Mark Ronson,dance pop,2015,115,61,86,-7,3
Take Me To Church,Hozier,irish singer-songwriter,2015,129,66,57,-5,12
Sugar,Maroon 5,pop,2015,120,79,75,-7,9
Sorry,Justin Bieber,canadian pop,2015,100,76,65,-4,30
FourFiveSeconds,Rihanna,barbadian pop,2015,206,27,58,-6,13
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,2015,190,61,26,-7,13
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b,2015,120,38,66,-6,10
What Do You Mean?,Justin Bieber,canadian pop,2015,125,57,85,-8,8
Stitches,Shawn Mendes,canadian pop,2015,150,75,75,-7,5
Want to Want Me,Jason Derulo,dance pop,2015,114,68,78,-6,11
My House,Flo Rida,dance pop,2015,94,70,69,-5,13
Waves - Robin Schulz Radio Edit,Mr. Probz,tropical house,2015,120,51,83,-9,8
Night Changes,One Direction,boy band,2015,120,52,67,-8,12
How Deep Is Your Love,Calvin Harris,dance pop,2015,122,87,74,-4,39
Never Forget You,Zara Larsson,dance pop,2015,146,73,58,-6,27
Love Me Harder,Ariana Grande,dance pop,2015,99,71,47,-4,8
Animals,Maroon 5,pop,2015,190,74,28,-6,59
Blame,Calvin Harris,dance pop,2015,128,86,41,-4,34
Worth It,Fifth Harmony,dance pop,2015,100,77,88,-4,12
Break Free,Ariana Grande,dance pop,2015,130,70,69,-5,20
Don't,Ed Sheeran,pop,2015,95,61,81,-7,64
Elastic Heart,Sia,australian dance,2015,130,79,42,-5,15
Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,2015,121,59,80,-7,19
Hello,Adele,british soul,2015,158,45,48,-6,9
Dear Future Husband,Meghan Trainor,dance pop,2015,79,78,66,-5,32
43776,Beyonc�,dance pop,2015,136,71,75,-5,13
The Heart Wants What It Wants,Selena Gomez,dance pop,2015,83,79,62,-5,14
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,dance pop,2015,86,73,60,-4,33
